金融機関コード,金融機関名,支店コード,支店名,科目,口座番号,口座名,取引日,入払区分,取引区分,取引金額,内他店券金額,手形・小切手区分,手形・小切手番号,振込依頼人番号,振込依頼人名,仕向金融機関名,仕向支店名,摘要,ＥＤＩ情報
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,9195,0, ,0,0,ｶ)ｱｽﾃﾂｴｲﾂ                                   ,ﾐｽﾞﾎ           ,ｼﾌﾞﾔ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,12960,0, ,0,0,ｶ)ﾋﾟﾉ                                          ,ﾐｽﾞﾎ           ,ﾄｳｷﾖｳｾﾝﾀ-      ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,211680,0, ,0,0,ｼﾔ)ｷﾞﾖｿﾝﾌﾞｳｶｲ                           ,ﾐｽﾞﾎ           ,ｱｵﾔﾏ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,876096,0, ,0,23,NSﾋﾜｾﾒﾎﾝ(ｶ                               ,ﾐｽﾞﾎ           ,ﾎﾝﾃﾝ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,19980,0, ,0,0,ｶ)ﾊﾜｳﾞｳ                                      ,ﾐｽﾞﾎ           ,ﾂｷﾁﾞ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,750364,0, ,0,0,ﾜｲｸ                                           ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ﾊﾗｼﾞﾕｸ         ,522ﾌﾘｺﾐ(BIZ1)       ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260805,1,11,378000,0, ,0,0,ｶ)ｶﾒｲﾝ                                     ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ﾊﾗｼﾞﾕｸ         ,522ﾌﾘｺﾐ(BIZ1)       ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260807,2,14,125700,0, ,0,4203800,9.84485E+17,               ,               ,763ｺｳｻﾞﾌﾘｶｴ4 HC)ｷﾔﾌﾞ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260807,1,11,418586,0, ,0,0,ﾕ)ｷｸ                                           ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｵｵﾃﾞﾝﾏﾁﾖｳ      ,266ﾌﾘｺﾐ6            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260808,2,14,5738,0, ,0,1506000,740276824,               ,               ,771ｽｲﾄﾞｳ ﾄｳｷﾖｳﾄｽｲﾄﾞｳ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260808,2,14,105084,0, ,0,8226500,8.20184E+19,               ,               ,763ｺｳｻﾞﾌﾘｶｴ4 IIJ(ｾﾃﾞ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260808,1,11,324000,0, ,0,0,JB-ｾﾙﾎｼｴｲｷﾞﾖｳﾌﾞ4                     ,ﾐｽﾞﾎ           ,ｵｵﾃﾏﾁ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260808,1,11,165780,0, ,0,0,ｶ)ﾗﾂﾊ-ﾒﾝﾄ                                   ,ﾐｽﾞﾎ           ,ｼﾊﾞ            ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260808,1,11,3240,0, ,0,0,ｼｷ ﾛｶ                                        ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｵｵﾃﾞﾝﾏﾁﾖｳ      ,266ﾌﾘｺﾐ6            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,56640,0, ,0,0,ﾒｼﾔﾊｼﾝｸﾞ(ｶ                                  ,ﾐﾂｲｽﾐﾄﾓ        ,ｲｹﾌﾞｸﾛ         ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,356400,0, ,0,0,ﾉﾗﾖｹﾝ (ｶ                                     ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ﾄｳｷﾖｳ          ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,1120284,0, ,0,0,ｶ)ﾀｲﾝﾞﾒｲｼﾔ                                  ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ﾖﾂﾔ            ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,4613155,0, ,0,0,ﾋﾞｴｴｽ(ｶ                                       ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ﾄｳｷﾖｳ          ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,6408,0, ,0,1101006,338080849,               ,               ,845ﾃﾞﾝﾜ 0338080849  ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,1080,0, ,0,1101017,7.10925E+19,               ,               ,845ﾃﾞﾜ NTｺﾐﾕﾆｹ-ｼﾖﾝ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,65896,0, ,0,4100100,3.54073E+15,               ,               ,776JC JC ｶ-ﾄﾞ     ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,81000,0, ,0,8206500,1405186024,               ,               ,703ｺｳｻﾞﾌﾘｴ3 ｾｺﾑ (ｶ ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,184419,0,2,18355,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,465000,0,2,18366,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,574800,0,2,18373,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,1050000,0,2,18357,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,1376188,0,2,18365,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,1761333,0,2,18356,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,2056243,0,2,18361,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,2139403,0,2,18363,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,2735250,0,2,18360,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,2899050,0,2,18362,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,2953641,0,2,18364,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,3000000,0,2,18358,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,5000000,0,2,18354,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,13,20000000,0,2,18353,0,                                                ,               ,               ,862ｺｳｶﾝ             ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,11,1143152,0, ,0,0,ｿｳｺﾞｳﾌﾘｺﾐ   BIZ                                 ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,11,2142717,0, ,0,0,ﾃﾞﾝｼｷﾛｸｻｲｹﾝ                                     ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,0000366D400000400000
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,11,34464087,0, ,0,0,ﾃﾞﾝｼｷﾛｸｻｲｹﾝ                                     ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,0000366D400000600000
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,11,72962645,0, ,0,0,ｿｳｺﾞｳﾌﾘｺﾐ   BIZ                                 ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,2314200,0, ,0,0,ﾁﾎｳｾﾞｲ                                          ,               ,               ,942ｾﾞｲｷﾝ1           ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,315684,0, ,0,0,ｶ)ﾀｶﾞｲｼﾔ                                      ,ﾐﾂｲｽﾐﾄﾓ        ,ﾋﾋﾞﾔ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,7977,0, ,0,0,ﾀﾞｲﾄﾘﾝｺ(ｶ                                   ,ﾐｽﾞﾎ           ,ｵｵｻｶﾎｳｼﾞﾝ      ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,2013067,0, ,00ﾆﾝｼｾﾞｲﾑｼﾖ                                    ,               ,               ,590PE/IN            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,2,14,3815,0, ,0,0,TTﾌｱｲﾅﾝｽ                                       ,               ,               ,590PE/IN            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,59761,0, ,0,0,ｶ)ｺｺｳｼｳ                                     ,ｼﾞﾖｳﾎｸｼﾝｷﾝ     ,ｾﾝﾀ-           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,12,43200,43200, ,0,0,                                                ,               ,               ,798ｼﾖｳｹﾝﾙｲ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260811,1,11,2194500,0, ,0,0,ｶ)ﾌﾞﾂﾊﾟﾅｽﾌﾄﾞｳｻﾝ                                   ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｵｵﾃﾞﾝﾏﾁﾖｳ      ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260812,2,14,1543,0, ,0,8305400,9.10002E+19,               ,               ,703ｺｳｻﾞﾌﾘｶｴ3 MBS.ｻｸﾗ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260813,2,14,2538,0, ,0,0,ﾁﾎｳｾﾞｲ(ｷﾎﾝ)                                     ,               ,               ,864ﾃｽｳﾘﾖｳ           ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260813,2,11,280800,0, ,0,0,ｿｳｺﾞｳﾌﾘｺﾐ   BIZ                                 ,               ,               ,276ｿｳｷﾕｳﾌﾘ          ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260813,1,11,1187546,0, ,0,088ｱｲﾒｲﾎｹﾝ(ｶ                              ,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,ｼﾝﾏﾙﾉｳﾁ        ,262ﾌﾘｺﾐ2            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260814,1,11,130680,0, ,0,0,ｶ) ﾋﾕﾏﾝｷｶｸ                                     ,ﾐﾂｲｽﾐﾄﾓ        ,ﾎﾝﾃﾝ           ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260814,1,11,27000,0, ,0,0,JB-ｾ-ﾙｶﾐｷｲｷﾞﾖｳﾌ                  ,ﾐｽﾞﾎ           ,ｵｵﾃﾏﾁ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260814,1,11,302616,0, ,0ﾄ-ｽｽｶｾｴｲｷﾞﾖｳﾌﾞ1                  ,ﾐｽﾞﾎ           ,ｵｵﾃﾏﾁ          ,261ﾌﾘｺﾐ1            ,                    
5,ﾐﾂﾋﾞｼﾄｳｷﾖｳUFJ  ,001,ﾆｼﾀﾞｲﾀﾞﾐｰ          ,2,8388612,ｶ)ﾌﾞﾂﾊﾟﾅｽ                                 ,260814,1,11,178470,0, ,0,0,ｶ)ｱｳﾄ                                           ,ﾐｽﾞﾎ           ,ﾐﾀｶ            ,261ﾌﾘｺﾐ1            ,                    
